,rmse,mae,r2,score,mape
42,33.793814828665255,25.748629520961217,0.9802202281098137,0.9802561380544468,0.07937373420794915
43,32.528704016980555,23.654601974487306,0.9803032383772177,0.9804460137377238,0.092850100642598
44,46.147547889666214,31.675492967878068,0.9745059777710925,0.9781874727986526,0.11662100085915364
45,47.66479018707825,37.15729248046875,0.9732053747093596,0.9756866905703424,0.1326468100865586
46,52.90532936596534,39.43868133544922,0.979497577712163,0.980789113510077,0.07872025855098648
47,49.784883129395595,37.48853150503976,0.9686984226729293,0.9686986490265597,0.09413249394211182
48,40.4602738453766,29.255414551326208,0.9605880208423142,0.9643207398172857,0.1337091727566413
49,41.421557385651525,29.306961495535713,0.9761900308934701,0.9761920385987436,0.08178652768580798
50,50.509936553435615,30.654562890189034,0.9570443385321445,0.9572575889238699,0.09394502212946321
51,49.95824684478749,35.08471778869629,0.9212924466313649,0.9233093143715421,0.11121729847072714
52,49.91461568973213,37.12438872746059,0.9738559339273407,0.978295989048846,0.21125919589690284
53,55.953851862115705,43.142474060058596,0.9808899889761981,0.981833845868628,0.09609243429035601
55,46.77690261895585,34.349250248500276,0.9792738016503784,0.9793658420255564,0.08126367997527628
56,65.08485188309166,46.34265173775809,0.9732631000938959,0.9775175866679182,0.09740135817337502
57,45.39475271028304,32.855532531738284,0.9819532074908768,0.9833403195832789,0.07551392345208245
58,41.496583503461146,29.794022892543246,0.974388921292841,0.9749569977127298,0.08110996045320085
59,36.328758549659135,28.16347451346261,0.9778332922485643,0.9779804478119635,0.07747932733353988
60,41.0085284245479,29.766298828125,0.9397727561787333,0.9523856063282841,0.11603744592199779
61,35.30839820719643,26.989539903913226,0.9741139009242762,0.9741536477425687,0.0869558530264605
62,28.454736849856847,22.038227364676338,0.9782014394402138,0.9791080309731487,0.07927820114276729
63,38.64554859781096,29.197185538155694,0.9615714819352137,0.9616015943446126,0.09545233550517458
64,25.45130591463133,18.261699000767297,0.9345508146707301,0.9392313851873982,0.13400803416324455
65,27.768223450989066,21.45398811340332,0.9447368923289642,0.9447369162281858,0.09675578540547948
66,30.825791260706758,23.318634425571986,0.9049124131342682,0.9075204204275287,0.1347777967091849
